name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas sp. OE 28.3	2745519	S	560687	0	560687	0.76562
Pseudomonas sp. ERGC3:05	2866386	S	2027	0	2027	0.00277
Pseudomonas sp. R76	1573711	S	662	0	662	0.00090
Pseudomonas sp. R2-60-08W	1173280	S	528	0	528	0.00072
Pseudomonas sp. LBUM920	2126069	S	523	0	523	0.00071
Pseudomonas sp. MYb193	1827300	S	490	0	490	0.00067
Pseudomonas sp. ADAK22	2730851	S	410	0	410	0.00056
Pseudomonas sp. S09G 359	2054919	S	384	0	384	0.00052
Pseudomonas sp. J380	2605424	S	363	0	363	0.00050
Pseudomonas sp. N3-W	2975049	S	300	0	300	0.00041
Pseudomonas sp. R5-89-07	658644	S	284	0	284	0.00039
Pseudomonas sp. LG1E9	2219057	S	273	0	273	0.00037
Pseudomonas sp. HN11	1344094	S	263	0	263	0.00036
Pseudomonas sp. IB20	1702250	S	243	0	243	0.00033
Pseudomonas sp. HN8-3	2886361	S	237	0	237	0.00032
Pseudomonas sp. ADAK13	2730847	S	229	0	229	0.00031
Pseudomonas sp. CBS	2971912	S	203	0	203	0.00028
Pseudomonas sp. ADAK18	2730848	S	200	0	200	0.00027
Pseudomonas sp. S35	1573719	S	193	0	193	0.00026
Pseudomonas sp. YeP6b	2861775	S	179	0	179	0.00024
Pseudomonas sp. SCA2728.1_7	2825975	S	173	0	173	0.00024
Pseudomonas sp. In5(2022)	2961896	S	172	0	172	0.00023
Pseudomonas sp. ArH3a	2862945	S	164	0	164	0.00022
Pseudomonas sp. R84	1573712	S	155	0	155	0.00021
Pseudomonas sp. SXM-1	2169583	S	154	0	154	0.00021
Pseudomonas sp. FDAARGOS_380	2018067	S	151	0	151	0.00021
Pseudomonas sp. 31-12	2201356	S	111	0	111	0.00015
Pseudomonas sp. Ost2	2678260	S	108	0	108	0.00015
Pseudomonas sp. NS1(2017)	2025658	S	108	0	108	0.00015
Pseudomonas sp. CYM-20-01	2870750	S	106	0	106	0.00014
Pseudomonas sp. NC02	2067572	S	103	0	103	0.00014
Pseudomonas sp. CFSAN084952	2664899	S	99	0	99	0.00014
Pseudomonas sp. Y39-6	2749807	S	91	0	91	0.00012
Pseudomonas sp. B21-048	2895490	S	86	0	86	0.00012
Pseudomonas sp. NIBRBAC000502773	2590776	S	83	0	83	0.00011
Pseudomonas sp. DR208	2870840	S	79	0	79	0.00011
Pseudomonas sp. R4-39-08	1173288	S	78	0	78	0.00011
Pseudomonas sp. SDM007	2812000	S	76	0	76	0.00010
Pseudomonas sp.	306	S	70	0	70	0.00010
Pseudomonas sp. Colony2	2861799	S	67	0	67	0.00009
Pseudomonas sp. DG56-2	2320270	S	58	0	58	0.00008
