name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	44686	0	44686	0.67404
Bacteroides fragilis	817	S	9688	0	9688	0.14613
Bacteroides thetaiotaomicron	818	S	29	0	29	0.00044
Bacteroides sp. DH3716P	2847299	S	12	0	12	0.00018
Bacteroides salyersiae	291644	S	9	0	9	0.00014
Bacteroides caccae	47678	S	2	0	2	0.00003
Bacteroides intestinalis	329854	S	2	0	2	0.00003
Bacteroides uniformis	820	S	1	0	1	0.00002
Bacteroides ovatus	28116	S	1	0	1	0.00002
Bacteroides cellulosilyticus	246787	S	1	0	1	0.00002
Phocaeicola dorei	357276	S	6	0	6	0.00009
Prevotella melaninogenica	28132	S	1	0	1	0.00002
Butyricimonas virosa	544645	S	1	0	1	0.00002
Parabacteroides goldsteinii	328812	S	1	0	1	0.00002
Draconibacterium halophilum	2706887	S	2	0	2	0.00003
Flavobacterium sp. I3-2	2748319	S	2	0	2	0.00003
Flavobacterium sp. Sr18	935222	S	2	0	2	0.00003
Flavobacterium sp. CLA17	2724135	S	2	0	2	0.00003
Flavobacterium sp. N2038	2986829	S	1	0	1	0.00002
Flavobacterium sp. F-323	2893885	S	1	0	1	0.00002
Flavobacterium sp. SHINM13	1751056	S	1	0	1	0.00002
Flavobacterium sp. xlx-214	2654325	S	1	0	1	0.00002
Flavobacterium sp. N3904	2986835	S	1	0	1	0.00002
Flavobacterium sp. N1994	2986827	S	1	0	1	0.00002
Flavobacterium sp. MDT1-60	1979344	S	1	0	1	0.00002
Flavobacterium sp. CECT 9288	2845819	S	1	0	1	0.00002
Flavobacterium sp. 140616W15	2478552	S	1	0	1	0.00002
Flavobacterium psychrophilum	96345	S	4	0	4	0.00006
Flavobacterium columnare	996	S	3	5	8	0.00012
Flavobacterium nitrogenifigens	1617283	S	3	0	3	0.00005
Flavobacterium endoglycinae	2816357	S	2	0	2	0.00003
Flavobacterium commune	1306519	S	2	0	2	0.00003
Flavobacterium oreochromis	2906078	S	1	0	1	0.00002
Flavobacterium covae	2906076	S	1	0	1	0.00002
Flavobacterium crocinum	2183896	S	1	0	1	0.00002
Flavobacterium gilvum	1492737	S	1	0	1	0.00002
Polaribacter sp. Hel1_33_78	1336804	S	3	0	3	0.00005
Polaribacter sp. NJDZ03	2855841	S	2	0	2	0.00003
Polaribacter sp. SA4-10	754397	S	1	0	1	0.00002
Polaribacter sp. KT 15	1896175	S	1	0	1	0.00002
Polaribacter sp. L3A8	2686361	S	1	0	1	0.00002
Polaribacter sp. Q13	2806551	S	1	0	1	0.00002
Polaribacter vadi	1774273	S	4	1	5	0.00008
Polaribacter pectinis	2738844	S	4	0	4	0.00006
Winogradskyella sp. PG-2	754409	S	1	0	1	0.00002
Winogradskyella sp. HaHa_3_26	2749995	S	1	0	1	0.00002
Winogradskyella sediminis	1382466	S	1	0	1	0.00002
Winogradskyella forsetii	2686077	S	1	0	1	0.00002
Winogradskyella helgolandensis	2697010	S	1	0	1	0.00002
Formosa sediminum	2594004	S	2	0	2	0.00003
Formosa agariphila	320324	S	1	0	1	0.00002
Formosa sp. L2A11	2686363	S	1	0	1	0.00002
Lutibacter sp. A80	2918453	S	2	0	2	0.00003
Lutibacter sp. A64	2918526	S	1	0	1	0.00002
Nonlabens dokdonensis	328515	S	2	0	2	0.00003
Nonlabens marinus	930802	S	1	0	1	0.00002
Tenacibaculum maritimum	107401	S	2	0	2	0.00003
Tenacibaculum mesophilum	104268	S	1	0	1	0.00002
Gramella flava	1486245	S	1	0	1	0.00002
Gramella salexigens	1913577	S	1	0	1	0.00002
Changchengzhania lutea	2049305	S	2	0	2	0.00003
Antarcticibacterium flavum	2058175	S	2	0	2	0.00003
Cellulophaga lytica	979	S	1	0	1	0.00002
Myroides sp. SCSIO 72103	2968490	S	1	0	1	0.00002
Seonamhaeicola sp. ML3	2937786	S	1	0	1	0.00002
Sabulilitoribacter sp. BrNp1-15	2916754	S	1	0	1	0.00002
Siansivirga zeaxanthinifaciens	762954	S	1	0	1	0.00002
Mesoflavibacter sp. SCSIO 43206	2779362	S	1	0	1	0.00002
Constantimarinum furrinae	2562285	S	1	0	1	0.00002
Tamlana sp. s12	1630406	S	1	0	1	0.00002
Sediminicola sp. YIK13	1453352	S	1	0	1	0.00002
Abyssalbus ytuae	2926907	S	1	0	1	0.00002
Olleya aquimaris	639310	S	1	0	1	0.00002
Rasiella rasia	2744027	S	1	0	1	0.00002
Capnocytophaga sputigena	1019	S	1	0	1	0.00002
Aquimarina sp. Aq107	1191912	S	1	0	1	0.00002
Muricauda oceani	2698672	S	1	0	1	0.00002
Aequorivita sp. H23M31	2494375	S	1	0	1	0.00002
Kordia antarctica	1218801	S	1	0	1	0.00002
Chryseobacterium sp. G0186	2487064	S	2	0	2	0.00003
Chryseobacterium sp.	1871047	S	1	0	1	0.00002
Chryseobacterium sp. 6424	2039166	S	1	0	1	0.00002
Chryseobacterium sp. G0162	2487063	S	1	0	1	0.00002
Chryseobacterium gleum	250	S	2	0	2	0.00003
Chryseobacterium indoltheticum	254	S	2	0	2	0.00003
Chryseobacterium shandongense	1493872	S	2	0	2	0.00003
Chryseobacterium suipulveris	2929800	S	1	0	1	0.00002
Chryseobacterium faecale	2852098	S	1	0	1	0.00002
Chryseobacterium camelliae	1265445	S	1	0	1	0.00002
Chryseobacterium carnipullorum	1124835	S	1	0	1	0.00002
Chryseobacterium oranimense	421058	S	1	0	1	0.00002
Chryseobacterium daecheongense	192389	S	1	0	1	0.00002
Empedobacter brevis	247	S	2	0	2	0.00003
