name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	332674	0	332674	0.81610
Polynucleobacter necessarius	576610	S	4556	0	4556	0.01118
Polynucleobacter sp. MWH-Spelu-300-X4	2689109	S	9	0	9	0.00002
Polynucleobacter sp. AP-Titi-500A-B4	2576923	S	7	0	7	0.00002
Polynucleobacter sp. JS-JIR-II-b4	1758390	S	5	0	5	0.00001
Polynucleobacter sp. MWH-UH25E	1855616	S	5	0	5	0.00001
Polynucleobacter sp. AP-Nino-20-G2	2576917	S	4	0	4	0.00001
Polynucleobacter sp. Adler-ghost	2770234	S	2	0	2	0.00000
Polynucleobacter sp. MG-5-Ahmo-C2	2081051	S	2	0	2	0.00000
Polynucleobacter sp. JS-JIR-II-50	2576919	S	1	0	1	0.00000
Polynucleobacter arcticus	1743165	S	3	0	3	0.00001
Burkholderia dolosa	152500	S	1695	0	1695	0.00416
Burkholderia multivorans	87883	S	1098	0	1098	0.00269
Burkholderia cenocepacia	95486	S	484	0	484	0.00119
Burkholderia aenigmatica	2015348	S	8	0	8	0.00002
Burkholderia thailandensis	57975	S	16	0	16	0.00004
Burkholderia mayonis	1385591	S	4	0	4	0.00001
Burkholderia gladioli	28095	S	1	0	1	0.00000
Burkholderia sp. PAMC 28687	1795874	S	1	0	1	0.00000
Cupriavidus oxalaticus	96344	S	185	0	185	0.00045
Cupriavidus taiwanensis	164546	S	74	0	74	0.00018
Cupriavidus pauculus	82633	S	4	0	4	0.00001
Cupriavidus gilardii	82541	S	3	0	3	0.00001
Ralstonia solanacearum	305	S	151	0	151	0.00037
Ralstonia pickettii	329	S	1	0	1	0.00000
Ralstonia mannitolilytica	105219	S	1	0	1	0.00000
Limnobacter sp. SAORIC-580	2732163	S	44	0	44	0.00011
Paraburkholderia pallida	2547399	S	6	0	6	0.00001
Paraburkholderia fungorum	134537	S	5	0	5	0.00001
Paraburkholderia hospita	169430	S	5	0	5	0.00001
Paraburkholderia terricola	169427	S	2	0	2	0.00000
Paraburkholderia dokdonella	2211211	S	2	0	2	0.00000
Pandoraea sp. XY-2	2518599	S	9	0	9	0.00002
Pandoraea pulmonicola	93221	S	1	0	1	0.00000
Pandoraea faecigallinarum	656179	S	1	0	1	0.00000
Mycoavidus cysteinexigens	1553431	S	5	0	5	0.00001
Mycoavidus sp. B2-EB	2651972	S	2	0	2	0.00000
Candidatus Vallotia cooleyia	1177211	S	3	0	3	0.00001
Janthinobacterium agaricidamnosum	55508	S	531	0	531	0.00130
