name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas sp. J380	2605424	S	555504	0	555504	0.75879
Pseudomonas sp. MYb193	1827300	S	4162	0	4162	0.00569
Pseudomonas sp. S35	1573719	S	2797	0	2797	0.00382
Pseudomonas sp. TMW 2.1634	1886807	S	1268	0	1268	0.00173
Pseudomonas sp. FDAARGOS_380	2018067	S	1213	0	1213	0.00166
Pseudomonas sp. WCS374	1495331	S	1009	0	1009	0.00138
Pseudomonas sp. ADAK13	2730847	S	781	0	781	0.00107
Pseudomonas sp. S09G 359	2054919	S	744	0	744	0.00102
Pseudomonas sp. St316	2678257	S	696	0	696	0.00095
Pseudomonas sp. HN8-3	2886361	S	646	0	646	0.00088
Pseudomonas sp. OST1909	2777367	S	580	0	580	0.00079
Pseudomonas sp. BIOMIG1BAC	1758730	S	570	0	570	0.00078
Pseudomonas sp. OE 28.3	2745519	S	556	0	556	0.00076
Pseudomonas sp. Y39-6	2749807	S	490	0	490	0.00067
Pseudomonas sp. Y5-11	2749808	S	449	0	449	0.00061
Pseudomonas sp. CFSAN084952	2664899	S	436	0	436	0.00060
Pseudomonas sp. CYM-20-01	2870750	S	364	0	364	0.00050
Pseudomonas sp. NS1(2017)	2025658	S	351	0	351	0.00048
Pseudomonas sp. CBS	2971912	S	323	0	323	0.00044
Pseudomonas sp. KUIN-1	2609418	S	297	0	297	0.00041
Pseudomonas sp. LG1D9	2083054	S	282	0	282	0.00039
Pseudomonas sp. B21-040	2895486	S	224	0	224	0.00031
Pseudomonas sp. bs2935	1761895	S	222	0	222	0.00030
Pseudomonas sp. HN11	1344094	S	211	0	211	0.00029
Pseudomonas sp. SCA2728.1_7	2825975	S	186	0	186	0.00025
Pseudomonas sp.	306	S	184	0	184	0.00025
Pseudomonas sp. R5-89-07	658644	S	176	0	176	0.00024
Pseudomonas sp. R2-37-08W	1173273	S	174	0	174	0.00024
Pseudomonas sp. DR48	2871095	S	166	0	166	0.00023
Pseudomonas sp. LG1E9	2219057	S	159	0	159	0.00022
Pseudomonas sp. N3-W	2975049	S	158	0	158	0.00022
Pseudomonas sp. ADAK18	2730848	S	130	0	130	0.00018
Pseudomonas sp. NIBR-H-19	2901380	S	130	0	130	0.00018
Pseudomonas sp. DR 5-09	1534110	S	126	0	126	0.00017
Pseudomonas sp. SXM-1	2169583	S	123	0	123	0.00017
Pseudomonas sp. So3.2b	2864101	S	121	0	121	0.00017
Pseudomonas sp. ArH3a	2862945	S	98	0	98	0.00013
Pseudomonas sp. R76	1573711	S	97	0	97	0.00013
