name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas sp. B21-059	2895496	S	194409	0	194409	0.40182
Pseudomonas sp. Os17	1500686	S	927	0	927	0.00192
Pseudomonas sp. St29	1500687	S	914	0	914	0.00189
Pseudomonas sp. Eqa60	2799184	S	831	0	831	0.00172
Pseudomonas sp. BC42	2933816	S	762	0	762	0.00157
Pseudomonas sp. L5B5	2883205	S	698	0	698	0.00144
Pseudomonas sp. MYb193	1827300	S	630	0	630	0.00130
Pseudomonas sp. J380	2605424	S	510	0	510	0.00105
Pseudomonas sp. CMR5c	658630	S	426	0	426	0.00088
Pseudomonas sp. NIBRBAC000502773	2590776	S	304	0	304	0.00063
Pseudomonas sp. S07E 245	2866278	S	184	0	184	0.00038
Pseudomonas sp. N3-W	2975049	S	159	0	159	0.00033
Pseudomonas sp. CFA	2651048	S	154	0	154	0.00032
Pseudomonas sp. 7SR1	1881017	S	132	0	132	0.00027
Pseudomonas sp. ADAK13	2730847	S	125	0	125	0.00026
Pseudomonas sp. S35	1573719	S	99	0	99	0.00020
Pseudomonas sp. Tri1	2823875	S	94	0	94	0.00019
Pseudomonas sp. BIOMIG1BAC	1758730	S	88	0	88	0.00018
Pseudomonas sp. ADAK18	2730848	S	87	0	87	0.00018
Pseudomonas sp. S34	1573718	S	85	0	85	0.00018
Pseudomonas sp. MPC6	2498848	S	84	0	84	0.00017
Pseudomonas sp. Ost2	2678260	S	84	0	84	0.00017
Pseudomonas sp. StFLB209	1028989	S	81	0	81	0.00017
Pseudomonas sp. DG56-2	2320270	S	77	0	77	0.00016
Pseudomonas sp. SK3(2021)	2841064	S	75	0	75	0.00016
Pseudomonas sp.	306	S	70	0	70	0.00014
Pseudomonas sp. J452	2898441	S	69	0	69	0.00014
Pseudomonas sp. LS1212	2972478	S	67	0	67	0.00014
Pseudomonas sp. PP3	2815936	S	67	0	67	0.00014
Pseudomonas sp. Seg1	2678259	S	66	0	66	0.00014
Pseudomonas sp. In5(2022)	2961896	S	64	0	64	0.00013
Pseudomonas sp. CC6-YY-74	1930532	S	63	0	63	0.00013
Pseudomonas sp. p1(2021b)	2874628	S	63	0	63	0.00013
Pseudomonas sp. St316	2678257	S	59	0	59	0.00012
Pseudomonas sp. HLS-6	2049589	S	57	0	57	0.00012
Pseudomonas sp. KNUC1026	2893890	S	54	0	54	0.00011
Pseudomonas sp. PIA16	2931382	S	53	0	53	0.00011
Pseudomonas sp. R5-89-07	658644	S	53	0	53	0.00011
Pseudomonas sp. B21-056	2895495	S	51	0	51	0.00011
Pseudomonas sp. B21-040	2895486	S	51	0	51	0.00011
Pseudomonas sp. MPFS	2795724	S	50	0	50	0.00010
Pseudomonas sp. MRSN 12121	1611770	S	47	0	47	0.00010
Pseudomonas sp. LS.1a	2920387	S	47	0	47	0.00010
Pseudomonas sp. 31-12	2201356	S	46	0	46	0.00010
Pseudomonas sp. NIBR-H-19	2901380	S	46	0	46	0.00010
Pseudomonas sp. DTU12.3	2073078	S	44	0	44	0.00009
Pseudomonas sp. OE 28.3	2745519	S	41	0	41	0.00008
Pseudomonas sp. SDM007	2812000	S	41	0	41	0.00008
Pseudomonas sp. S150	2559074	S	39	0	39	0.00008
Pseudomonas sp. HN11	1344094	S	39	0	39	0.00008
Pseudomonas sp. URMO17WK12:I11	1283291	S	39	0	39	0.00008
Pseudomonas sp. FDAARGOS_380	2018067	S	38	0	38	0.00008
Pseudomonas sp. BT-42-2	2986927	S	38	0	38	0.00008
Pseudomonas sp. B21-015	2895473	S	38	0	38	0.00008
Pseudomonas sp. R76	1573711	S	38	0	38	0.00008
Pseudomonas sp. BW7P1	2973088	S	37	0	37	0.00008
Pseudomonas sp. 09C 129	2054915	S	37	0	37	0.00008
Pseudomonas sp. TCU-HL1	1856685	S	36	0	36	0.00007
Pseudomonas sp. S09G 359	2054919	S	35	0	35	0.00007
Pseudomonas sp. B21-053	2895493	S	34	0	34	0.00007
Pseudomonas sp. B21-028	2895480	S	34	0	34	0.00007
Pseudomonas sp. B21-017	2895474	S	34	0	34	0.00007
Pseudomonas sp. ACM7	2052956	S	33	0	33	0.00007
Pseudomonas sp. NS1(2017)	2025658	S	33	0	33	0.00007
Pseudomonas sp. Sm006	2731552	S	32	0	32	0.00007
Pseudomonas sp. B21-054	2895494	S	31	0	31	0.00006
Pseudomonas sp. LG1E9	2219057	S	31	0	31	0.00006
Pseudomonas sp. LS44	1357074	S	31	0	31	0.00006
Pseudomonas sp. DR48	2871095	S	31	0	31	0.00006
Pseudomonas sp. B21-048	2895490	S	30	0	30	0.00006
Pseudomonas sp. AO-1	2855434	S	29	0	29	0.00006
Pseudomonas sp. DY-1	1755504	S	28	0	28	0.00006
Pseudomonas sp. R84	1573712	S	27	0	27	0.00006
Pseudomonas sp. ABC1	2748080	S	27	0	27	0.00006
Pseudomonas sp. Marseille-Q3773	2866592	S	27	0	27	0.00006
Pseudomonas sp. Leaf58	1736226	S	27	0	27	0.00006
Pseudomonas sp. MM211	2866808	S	26	0	26	0.00005
Pseudomonas sp. SCA2728.1_7	2825975	S	24	0	24	0.00005
