name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	11815	0	11815	0.63638
Pseudomonas protegens	380021	S	286	0	286	0.01540
Pseudomonas azotoformans	47878	S	233	0	233	0.01255
Pseudomonas fluorescens	294	S	23	0	23	0.00124
Pseudomonas rhodesiae	76760	S	9	0	9	0.00048
Pseudomonas synxantha	47883	S	6	0	6	0.00032
Pseudomonas orientalis	76758	S	5	0	5	0.00027
Pseudomonas trivialis	200450	S	4	0	4	0.00022
Pseudomonas cedrina	651740	S	3	0	3	0.00016
Pseudomonas libanensis	75588	S	2	0	2	0.00011
Pseudomonas extremorientalis	169669	S	2	0	2	0.00011
Pseudomonas tolaasii	29442	S	1	0	1	0.00005
Pseudomonas poae	200451	S	1	0	1	0.00005
Pseudomonas brenneri	129817	S	1	0	1	0.00005
Pseudomonas veronii	76761	S	1	0	1	0.00005
Pseudomonas mandelii	75612	S	1	0	1	0.00005
Pseudomonas sp. MYb193	1827300	S	161	0	161	0.00867
Pseudomonas sp. J380	2605424	S	85	0	85	0.00458
Pseudomonas sp. B21-059	2895496	S	75	0	75	0.00404
Pseudomonas sp. NIBRBAC000502773	2590776	S	72	0	72	0.00388
Pseudomonas sp. CIP-10	2892442	S	32	0	32	0.00172
Pseudomonas sp. NS1(2017)	2025658	S	17	0	17	0.00092
Pseudomonas sp. S35	1573719	S	3	0	3	0.00016
Pseudomonas sp. LG1E9	2219057	S	2	0	2	0.00011
Pseudomonas sp. L5B5	2883205	S	2	0	2	0.00011
Pseudomonas sp. R5-89-07	658644	S	2	0	2	0.00011
Pseudomonas sp. Eqa60	2799184	S	2	0	2	0.00011
Pseudomonas sp. DR48	2871095	S	2	0	2	0.00011
Pseudomonas sp. LS44	1357074	S	2	0	2	0.00011
Pseudomonas sp. OE 28.3	2745519	S	2	0	2	0.00011
Pseudomonas sp. FDAARGOS_380	2018067	S	2	0	2	0.00011
Pseudomonas sp. ADAK18	2730848	S	2	0	2	0.00011
Pseudomonas sp. PONIH3	1636610	S	1	0	1	0.00005
Pseudomonas sp. B21-035	2895484	S	1	0	1	0.00005
Pseudomonas sp. IB20	1702250	S	1	0	1	0.00005
Pseudomonas sp. Os17	1500686	S	1	0	1	0.00005
Pseudomonas sp. St29	1500687	S	1	0	1	0.00005
Pseudomonas sp. St290	1602166	S	1	0	1	0.00005
Pseudomonas sp. KNUC1026	2893890	S	1	0	1	0.00005
Pseudomonas sp. MPFS	2795724	S	1	0	1	0.00005
Pseudomonas sp. 09C 129	2054915	S	1	0	1	0.00005
Pseudomonas sp. R4-39-08	1173288	S	1	0	1	0.00005
Pseudomonas sp. LH1G9	2083055	S	1	0	1	0.00005
Pseudomonas sp. R2-37-08W	1173273	S	1	0	1	0.00005
Pseudomonas sp. R1-43-08	1173270	S	1	0	1	0.00005
