name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Enterococcus faecium	1352	S	448609	0	448609	0.73451
Enterococcus durans	53345	S	930	0	930	0.00152
Enterococcus lactis	357441	S	806	0	806	0.00132
Enterococcus hirae	1354	S	517	0	517	0.00085
Enterococcus mundtii	53346	S	508	0	508	0.00083
Enterococcus faecalis	1351	S	432	0	432	0.00071
Enterococcus sp. DA9	2603296	S	262	0	262	0.00043
Enterococcus sp. FDAARGOS_375	2060307	S	6	0	6	0.00001
Enterococcus sp. CR-Ec1	2057791	S	3	0	3	0.00000
Enterococcus sp. M190262	2582830	S	2	0	2	0.00000
Enterococcus sp. LX10	2920934	S	1	0	1	0.00000
Enterococcus casseliflavus	37734	S	177	0	177	0.00029
Enterococcus avium	33945	S	174	0	174	0.00028
Enterococcus thailandicus	417368	S	164	0	164	0.00027
Enterococcus cecorum	44008	S	148	0	148	0.00024
Enterococcus raffinosus	71452	S	55	0	55	0.00009
Enterococcus wangshanyuanii	2005703	S	55	0	55	0.00009
Enterococcus saigonensis	1805431	S	36	0	36	0.00006
Enterococcus gallinarum	1353	S	34	0	34	0.00006
Enterococcus gilvus	160453	S	13	0	13	0.00002
Enterococcus rotai	118060	S	9	0	9	0.00001
Enterococcus innesii	2839759	S	9	0	9	0.00001
Tetragenococcus halophilus	51669	S	45	0	45	0.00007
Vagococcus teuberi	519472	S	5	0	5	0.00001
Vagococcus zengguangii	2571750	S	3	0	3	0.00000
Vagococcus penaei	633807	S	2	0	2	0.00000
Vagococcus fluvialis	2738	S	1	0	1	0.00000
Melissococcus plutonius	33970	S	2	0	2	0.00000
Streptococcus gordonii	1302	S	62	2232	2294	0.00376
Streptococcus parauberis	1348	S	9	0	9	0.00001
Streptococcus thermophilus	1308	S	5	0	5	0.00001
Streptococcus suis	1307	S	4	0	4	0.00001
Streptococcus agalactiae	1311	S	3	0	3	0.00000
Streptococcus pyogenes	1314	S	3	89	92	0.00015
Streptococcus salivarius	1304	S	2	0	2	0.00000
Streptococcus infantis	68892	S	2	0	2	0.00000
Streptococcus sanguinis	1305	S	1	0	1	0.00000
Streptococcus sp. oral taxon 064	712624	S	1	0	1	0.00000
Streptococcus pneumoniae	1313	S	1	0	1	0.00000
Streptococcus constellatus	76860	S	1	0	1	0.00000
Streptococcus dysgalactiae	1334	S	1	0	1	0.00000
Lactococcus lactis	1358	S	6	0	6	0.00001
Lactococcus raffinolactis	1366	S	3	0	3	0.00000
Lactococcus garvieae	1363	S	1	0	1	0.00000
Lactococcus sp. LG606	2816912	S	1	0	1	0.00000
Ligilactobacillus murinus	1622	S	8	0	8	0.00001
Ligilactobacillus salivarius	1624	S	8	0	8	0.00001
Ligilactobacillus ruminis	1623	S	4	0	4	0.00001
Ligilactobacillus acidipiscis	89059	S	1	0	1	0.00000
Limosilactobacillus reuteri	1598	S	13	0	13	0.00002
Limosilactobacillus vaginalis	1633	S	4	0	4	0.00001
Limosilactobacillus fermentum	1613	S	2	0	2	0.00000
Lactiplantibacillus plantarum	1590	S	7	0	7	0.00001
Latilactobacillus sakei	1599	S	5	0	5	0.00001
Pediococcus acidilactici	1254	S	2	0	2	0.00000
Pediococcus pentosaceus	1255	S	1	0	1	0.00000
Levilactobacillus suantsaii	2292255	S	2	0	2	0.00000
Levilactobacillus brevis	1580	S	1	0	1	0.00000
Lacticaseibacillus rhamnosus	47715	S	1	0	1	0.00000
Weissella hellenica	46256	S	2	0	2	0.00000
Lactobacillus kefiranofaciens	267818	S	2	0	2	0.00000
Leuconostoc mesenteroides	1245	S	1	0	1	0.00000
Periweissella cryptocerci	2506420	S	1	0	1	0.00000
Companilactobacillus crustorum	392416	S	1	0	1	0.00000
Oenococcus oeni	1247	S	1	0	1	0.00000
Carnobacterium viridans	174587	S	7	0	7	0.00001
Carnobacterium maltaromaticum	2751	S	1	0	1	0.00000
Carnobacterium sp. CP1	1564681	S	1	0	1	0.00000
Jeotgalibaca sp. PTS2502	1903686	S	1	0	1	0.00000
Aerococcus urinaeequi	51665	S	1	0	1	0.00000
Staphylococcus aureus	1280	S	643	1482	2125	0.00348
Staphylococcus simulans	1286	S	11	0	11	0.00002
Staphylococcus argenteus	985002	S	10	0	10	0.00002
Staphylococcus sp. IVB6181	2929481	S	2	0	2	0.00000
Staphylococcus sp. IVB6240	2989771	S	1	0	1	0.00000
Staphylococcus haemolyticus	1283	S	2	0	2	0.00000
Staphylococcus ureilyticus	94138	S	1	0	1	0.00000
Staphylococcus pasteuri	45972	S	1	0	1	0.00000
Staphylococcus lugdunensis	28035	S	1	0	1	0.00000
Staphylococcus cohnii	29382	S	1	20	21	0.00003
Jeotgalicoccus sp. ATCC 8456	946435	S	1	0	1	0.00000
Mammaliicoccus sciuri	1296	S	1	0	1	0.00000
Bacillus velezensis	492670	S	16	0	16	0.00003
Bacillus amyloliquefaciens	1390	S	1	0	1	0.00000
Bacillus siamensis	659243	S	1	0	1	0.00000
Bacillus subtilis	1423	S	6	0	6	0.00001
Bacillus vallismortis	72361	S	2	0	2	0.00000
Bacillus thuringiensis	1428	S	6	0	6	0.00001
Bacillus cereus	1396	S	5	0	5	0.00001
Bacillus mycoides	1405	S	3	0	3	0.00000
Bacillus anthracis	1392	S	2	0	2	0.00000
Bacillus sp. FDAARGOS_235	1839798	S	1	0	1	0.00000
Bacillus mobilis	2026190	S	1	0	1	0.00000
Bacillus wiedmannii	1890302	S	1	0	1	0.00000
Bacillus sp. ZHX3	2841656	S	1	0	1	0.00000
Bacillus sp. BD59S	2499213	S	1	0	1	0.00000
Bacillus sp. 1NLA3E	666686	S	1	0	1	0.00000
Bacillus sp. NSP9.1	1071078	S	1	0	1	0.00000
Bacillus pumilus	1408	S	1	0	1	0.00000
Lysinibacillus timonensis	2086577	S	9	0	9	0.00001
Lysinibacillus agricola	2590012	S	3	0	3	0.00000
Weizmannia coagulans	1398	S	5	0	5	0.00001
Priestia megaterium	1404	S	4	0	4	0.00001
Aeribacillus pallidus	33936	S	2	0	2	0.00000
Parageobacillus toebii	153151	S	1	0	1	0.00000
Cytobacillus firmus	1399	S	1	0	1	0.00000
Heyndrickxia oleronia	38875	S	1	0	1	0.00000
Mangrovibacillus cuniculi	2593652	S	1	0	1	0.00000
Brevibacillus brevis	1393	S	6	0	6	0.00001
Paenibacillus physcomitrellae	1619311	S	2	0	2	0.00000
Paenibacillus lutimineralis	2707005	S	1	0	1	0.00000
Paenibacillus durus	44251	S	1	0	1	0.00000
Cohnella abietis	2507935	S	1	0	1	0.00000
Listeria monocytogenes	1639	S	5	0	5	0.00001
Listeria innocua	1642	S	2	0	2	0.00000
Brochothrix thermosphacta	2756	S	1	0	1	0.00000
Planococcus sp. MB-3u-03	2058136	S	2	0	2	0.00000
Planococcus antarcticus	161360	S	1	0	1	0.00000
Kyrpidia tusciae	33943	S	2	0	2	0.00000
Clostridium perfringens	1502	S	3	0	3	0.00000
Serpentinicella alkaliphila	1734049	S	2	0	2	0.00000
Vescimonas fastidiosa	2714353	S	1	0	1	0.00000
Vescimonas coprocola	2714355	S	1	0	1	0.00000
Candidatus Contubernalis alkalaceticum	338645	S	1	0	1	0.00000
Blautia pseudococcoides	1796616	S	1	0	1	0.00000
Acetobacterium woodii	33952	S	1	0	1	0.00000
Tepidanaerobacter acetatoxydans	499229	S	1	0	1	0.00000
Methylomusa anaerophila	1930071	S	1	0	1	0.00000
Caloranaerobacter azorensis	116090	S	1	0	1	0.00000
Mycobacteroides abscessus	36809	S	10	0	10	0.00002
Mycobacterium avium	1764	S	8	0	8	0.00001
Mycobacterium tuberculosis	1773	S	1	0	1	0.00000
Mycolicibacter sp. MYC340	2855503	S	6	0	6	0.00001
Mycolicibacterium austroafricanum	39687	S	3	0	3	0.00000
Rhodococcus triatomae	300028	S	1	0	1	0.00000
Streptomyces armeniacus	83291	S	7	0	7	0.00001
Streptomyces vinaceusdrappus	67376	S	6	0	6	0.00001
Streptomyces sp. ICC4	2099584	S	1	0	1	0.00000
Streptomyces sp. ICC1	2099583	S	1	0	1	0.00000
Bifidobacterium catenulatum	1686	S	1	0	1	0.00000
Bifidobacterium animalis	28025	S	1	0	1	0.00000
Curtobacterium sp. Csp2	2495430	S	2	0	2	0.00000
Cutibacterium acnes	1747	S	1	0	1	0.00000
Pseudonocardia dioxanivorans	240495	S	1	0	1	0.00000
Euzebya pacifica	1608957	S	1	0	1	0.00000
Synechococcus sp. PCC 7502	1173263	S	12	0	12	0.00002
Prochlorococcus marinus	1219	S	1	0	1	0.00000
Nostoc sp. CENA543	1869241	S	2	0	2	0.00000
Calothrix brevissima	938406	S	1	0	1	0.00000
