name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas azotoformans	47878	S	142020	0	142020	0.29435
Pseudomonas fluorescens	294	S	8624	0	8624	0.01787
Pseudomonas orientalis	76758	S	2503	0	2503	0.00519
Pseudomonas rhodesiae	76760	S	2193	0	2193	0.00455
Pseudomonas synxantha	47883	S	2089	0	2089	0.00433
Pseudomonas trivialis	200450	S	1469	0	1469	0.00304
Pseudomonas cedrina	651740	S	973	0	973	0.00202
Pseudomonas protegens	380021	S	965	0	965	0.00200
Pseudomonas poae	200451	S	856	0	856	0.00177
Pseudomonas tolaasii	29442	S	811	0	811	0.00168
Pseudomonas libanensis	75588	S	698	0	698	0.00145
Pseudomonas mucidolens	46679	S	415	0	415	0.00086
Pseudomonas veronii	76761	S	380	0	380	0.00079
Pseudomonas extremorientalis	169669	S	314	0	314	0.00065
Pseudomonas brenneri	129817	S	284	0	284	0.00059
Pseudomonas corrugata	47879	S	282	0	282	0.00058
Pseudomonas migulae	78543	S	88	0	88	0.00018
Pseudomonas mandelii	75612	S	66	0	66	0.00014
Pseudomonas mediterranea	183795	S	58	0	58	0.00012
Pseudomonas ogarae	1114970	S	22	0	22	0.00005
Pseudomonas congelans	200452	S	15	0	15	0.00003
Pseudomonas sp. NIBRBAC000502773	2590776	S	103349	0	103349	0.21420
Pseudomonas sp. S35	1573719	S	10641	0	10641	0.02205
Pseudomonas sp. LG1E9	2219057	S	2745	0	2745	0.00569
Pseudomonas sp. S09G 359	2054919	S	1553	0	1553	0.00322
Pseudomonas sp. NS1(2017)	2025658	S	777	0	777	0.00161
Pseudomonas sp. HN11	1344094	S	754	0	754	0.00156
Pseudomonas sp. OE 28.3	2745519	S	730	0	730	0.00151
Pseudomonas sp. R5-89-07	658644	S	615	0	615	0.00127
Pseudomonas sp. CYM-20-01	2870750	S	473	0	473	0.00098
Pseudomonas sp. TKP	1415630	S	444	0	444	0.00092
Pseudomonas sp. MYb193	1827300	S	443	0	443	0.00092
Pseudomonas sp. ADAK18	2730848	S	442	0	442	0.00092
Pseudomonas sp. R76	1573711	S	403	0	403	0.00084
Pseudomonas sp. L5B5	2883205	S	396	0	396	0.00082
Pseudomonas sp. FDAARGOS_380	2018067	S	386	0	386	0.00080
Pseudomonas sp. J380	2605424	S	379	0	379	0.00079
Pseudomonas sp. CBS	2971912	S	354	0	354	0.00073
Pseudomonas sp. ADAK13	2730847	S	340	0	340	0.00070
Pseudomonas sp. Os17	1500686	S	285	0	285	0.00059
Pseudomonas sp. B21-010	2895471	S	228	0	228	0.00047
Pseudomonas sp. B21-059	2895496	S	216	0	216	0.00045
Pseudomonas sp. In5(2022)	2961896	S	200	0	200	0.00041
Pseudomonas sp. MPFS	2795724	S	182	0	182	0.00038
Pseudomonas sp. SDM007	2812000	S	177	0	177	0.00037
Pseudomonas sp. LG1D9	2083054	S	168	0	168	0.00035
Pseudomonas sp. R3-18-08	1173283	S	151	0	151	0.00031
Pseudomonas sp. Tri1	2823875	S	144	0	144	0.00030
Pseudomonas sp. S34	1573718	S	140	0	140	0.00029
Pseudomonas sp. 7SR1	1881017	S	134	0	134	0.00028
Pseudomonas sp. PP3	2815936	S	132	0	132	0.00027
Pseudomonas sp. MPC6	2498848	S	128	0	128	0.00027
Pseudomonas sp. DTU12.3	2073078	S	125	0	125	0.00026
Pseudomonas sp. R2-37-08W	1173273	S	123	0	123	0.00025
Pseudomonas sp. ACM7	2052956	S	120	0	120	0.00025
Pseudomonas sp. Ost2	2678260	S	114	0	114	0.00024
Pseudomonas sp. StFLB209	1028989	S	111	0	111	0.00023
Pseudomonas sp. R4-34-07	658642	S	107	0	107	0.00022
Pseudomonas sp. DR208	2870840	S	106	0	106	0.00022
Pseudomonas sp. ADAK22	2730851	S	105	0	105	0.00022
Pseudomonas sp. LS1212	2972478	S	101	0	101	0.00021
Pseudomonas sp. N3-W	2975049	S	101	0	101	0.00021
Pseudomonas sp. B21-040	2895486	S	99	0	99	0.00021
Pseudomonas sp. BW7P1	2973088	S	98	0	98	0.00020
Pseudomonas sp. PIA16	2931382	S	92	0	92	0.00019
Pseudomonas sp.	306	S	89	0	89	0.00018
Pseudomonas sp. LBUM920	2126069	S	88	0	88	0.00018
Pseudomonas sp. DG56-2	2320270	S	86	0	86	0.00018
Pseudomonas sp. NIBR-H-19	2901380	S	83	0	83	0.00017
Pseudomonas sp. B21-048	2895490	S	83	0	83	0.00017
Pseudomonas sp. R84	1573712	S	82	0	82	0.00017
Pseudomonas sp. R2-60-08W	1173280	S	81	0	81	0.00017
Pseudomonas sp. MM213	2866807	S	81	0	81	0.00017
Pseudomonas sp. R1-43-08	1173270	S	78	0	78	0.00016
Pseudomonas sp. HS6	2850559	S	76	0	76	0.00016
Pseudomonas sp. Colony2	2861799	S	73	0	73	0.00015
Pseudomonas sp. 7-41	2898483	S	72	0	72	0.00015
Pseudomonas sp. ERGC3:05	2866386	S	70	0	70	0.00015
Pseudomonas sp. CMR5c	658630	S	68	0	68	0.00014
Pseudomonas sp. M30-35	1981174	S	68	0	68	0.00014
Pseudomonas sp. NC02	2067572	S	67	0	67	0.00014
Pseudomonas sp. St316	2678257	S	65	0	65	0.00013
Pseudomonas sp. B21-015	2895473	S	64	0	64	0.00013
Pseudomonas sp. Seg1	2678259	S	64	0	64	0.00013
