name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Enterococcus faecium	1352	S	218957	0	218957	0.62237
Enterococcus faecalis	1351	S	581	0	581	0.00165
Enterococcus casseliflavus	37734	S	429	0	429	0.00122
Enterococcus durans	53345	S	334	0	334	0.00095
Enterococcus avium	33945	S	312	0	312	0.00089
Enterococcus lactis	357441	S	198	0	198	0.00056
Enterococcus hirae	1354	S	187	0	187	0.00053
Enterococcus mundtii	53346	S	153	0	153	0.00043
Enterococcus sp. DA9	2603296	S	117	0	117	0.00033
Enterococcus sp. FDAARGOS_375	2060307	S	2	0	2	0.00001
Enterococcus sp. CR-Ec1	2057791	S	1	0	1	0.00000
Enterococcus sp. FDAARGOS_553	2420313	S	1	0	1	0.00000
Enterococcus raffinosus	71452	S	100	0	100	0.00028
Enterococcus cecorum	44008	S	89	0	89	0.00025
Enterococcus thailandicus	417368	S	75	0	75	0.00021
Enterococcus saigonensis	1805431	S	58	0	58	0.00016
Enterococcus rotai	118060	S	34	0	34	0.00010
Enterococcus gilvus	160453	S	31	0	31	0.00009
Enterococcus wangshanyuanii	2005703	S	8	0	8	0.00002
Enterococcus gallinarum	1353	S	7	0	7	0.00002
Vagococcus fluvialis	2738	S	12	0	12	0.00003
Vagococcus teuberi	519472	S	4	0	4	0.00001
Vagococcus lutrae	81947	S	3	0	3	0.00001
Vagococcus carniphilus	218144	S	1	0	1	0.00000
Vagococcus penaei	633807	S	1	0	1	0.00000
Vagococcus hydrophili	2714947	S	1	0	1	0.00000
Tetragenococcus halophilus	51669	S	7	0	7	0.00002
Tetragenococcus koreensis	290335	S	1	0	1	0.00000
Tetragenococcus osmophilus	526944	S	1	0	1	0.00000
Streptococcus agalactiae	1311	S	20	0	20	0.00006
Streptococcus cristatus	45634	S	18	0	18	0.00005
Streptococcus thermophilus	1308	S	18	0	18	0.00005
Streptococcus pyogenes	1314	S	4	1667	1671	0.00475
Streptococcus dysgalactiae	1334	S	4	0	4	0.00001
Streptococcus parasuis	1501662	S	3	0	3	0.00001
Streptococcus parauberis	1348	S	2	0	2	0.00001
Streptococcus suis	1307	S	2	0	2	0.00001
Streptococcus sp. CNU G2	2686210	S	1	0	1	0.00000
Streptococcus sp. DAT741	1940319	S	1	0	1	0.00000
Lactococcus lactis	1358	S	10	0	10	0.00003
Lactococcus garvieae	1363	S	7	0	7	0.00002
Lactococcus cremoris	1359	S	3	0	3	0.00001
Lactococcus piscium	1364	S	2	0	2	0.00001
Lactococcus raffinolactis	1366	S	2	0	2	0.00001
Ligilactobacillus salivarius	1624	S	6	0	6	0.00002
Ligilactobacillus ruminis	1623	S	1	0	1	0.00000
Ligilactobacillus acidipiscis	89059	S	1	0	1	0.00000
Lactobacillus intestinalis	151781	S	1	0	1	0.00000
Lactobacillus sp. PC121B	1248330	S	1	0	1	0.00000
Lactobacillus kefiranofaciens	267818	S	1	0	1	0.00000
Lactobacillus johnsonii	33959	S	1	0	1	0.00000
Limosilactobacillus vaginalis	1633	S	4	0	4	0.00001
Lactiplantibacillus plantarum	1590	S	4	0	4	0.00001
Loigolactobacillus coryniformis	1610	S	2	0	2	0.00001
Pediococcus pentosaceus	1255	S	1	0	1	0.00000
Secundilactobacillus paracollinoides	240427	S	1	0	1	0.00000
Lentilactobacillus parabuchneri	152331	S	1	0	1	0.00000
Lacticaseibacillus rhamnosus	47715	S	1	0	1	0.00000
Ignavigranum ruoffiae	89093	S	8	0	8	0.00002
Aerococcus urinaeequi	51665	S	1	0	1	0.00000
Aerococcus urinaehominis	128944	S	1	0	1	0.00000
Carnobacterium maltaromaticum	2751	S	2	0	2	0.00001
Jeotgalibaca sp. PTS2502	1903686	S	1	0	1	0.00000
Staphylococcus aureus	1280	S	1220	4257	5477	0.01557
Staphylococcus simulans	1286	S	33	0	33	0.00009
Staphylococcus epidermidis	1282	S	1	0	1	0.00000
Staphylococcus hyicus	1284	S	1	0	1	0.00000
Staphylococcus auricularis	29379	S	1	0	1	0.00000
Mammaliicoccus sciuri	1296	S	2	0	2	0.00001
Bacillus cereus	1396	S	4	0	4	0.00001
Bacillus mycoides	1405	S	2	0	2	0.00001
Bacillus thuringiensis	1428	S	2	0	2	0.00001
Bacillus subtilis	1423	S	4	0	4	0.00001
Bacillus velezensis	492670	S	3	0	3	0.00001
Bacillus sp. BD59S	2499213	S	2	0	2	0.00001
Bacillus altitudinis	293387	S	1	0	1	0.00000
Heyndrickxia oleronia	38875	S	19	0	19	0.00005
Lysinibacillus timonensis	2086577	S	3	0	3	0.00001
Virgibacillus sp. NKC19-16	2831673	S	1	0	1	0.00000
Metabacillus endolithicus	1535204	S	1	0	1	0.00000
Priestia megaterium	1404	S	1	0	1	0.00000
Terribacillus sp. DMT04	2850441	S	1	0	1	0.00000
Brevibacillus brevis	1393	S	12	0	12	0.00003
Paenibacillus sp. JNUCC-31	2777983	S	3	0	3	0.00001
Paenibacillus xylanexedens	528191	S	1	0	1	0.00000
Paenibacillus durus	44251	S	1	0	1	0.00000
Paenibacillus ihbetae	1870820	S	1	0	1	0.00000
Listeria innocua	1642	S	4	0	4	0.00001
Listeria monocytogenes	1639	S	3	0	3	0.00001
Planococcus sp. MB-3u-03	2058136	S	2	0	2	0.00001
Planococcus faecalis	1598147	S	1	0	1	0.00000
Sporosarcina sp. Marseille-Q4943	2942204	S	1	0	1	0.00000
Paenisporosarcina cavernae	2320858	S	1	0	1	0.00000
Kyrpidia tusciae	33943	S	1	0	1	0.00000
Butyrivibrio crossotus	45851	S	17	0	17	0.00005
Lachnospira eligens	39485	S	1	0	1	0.00000
Blautia pseudococcoides	1796616	S	1	0	1	0.00000
Clostridioides difficile	1496	S	15	264	279	0.00079
Faecalibacterium prausnitzii	853	S	1	0	1	0.00000
