name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	493648	0	493648	0.68421
Klebsiella pneumoniae	573	S	1870	46241	48111	0.06668
Klebsiella variicola	244366	S	1020	0	1020	0.00141
Klebsiella grimontii	2058152	S	575	0	575	0.00080
Klebsiella oxytoca	571	S	192	0	192	0.00027
Klebsiella quasipneumoniae	1463165	S	38	92	130	0.00018
Klebsiella aerogenes	548	S	5	0	5	0.00001
Raoultella terrigena	577	S	1	0	1	0.00000
Salmonella enterica	28901	S	1951	29802	31753	0.04401
Salmonella bongori	54736	S	1	0	1	0.00000
Escherichia coli	562	S	171	412	583	0.00081
Escherichia albertii	208962	S	22	0	22	0.00003
Citrobacter rodentium	67825	S	32	0	32	0.00004
Citrobacter freundii	546	S	18	0	18	0.00002
Citrobacter portucalensis	1639133	S	11	0	11	0.00002
Citrobacter farmeri	67824	S	10	0	10	0.00001
Citrobacter amalonaticus	35703	S	9	0	9	0.00001
Citrobacter tructae	2562449	S	8	0	8	0.00001
Buttiauxella sp. 3AFRM03	2479367	S	12	0	12	0.00002
Buttiauxella agrestis	82977	S	10	0	10	0.00001
Buttiauxella ferragutiae	82989	S	3	0	3	0.00000
Enterobacteriaceae endosymbiont of Donacia crassipes	2675776	S	17	0	17	0.00002
Enterobacteriaceae endosymbiont of Donacia cincticornis	2675773	S	15	0	15	0.00002
Enterobacteriaceae endosymbiont of Neohaemonia nigricornis	2675792	S	10	0	10	0.00001
Enterobacteriaceae endosymbiont of Donacia thalassina	2675786	S	7	0	7	0.00001
Enterobacteriaceae endosymbiont of Donacia clavipes	2675775	S	4	0	4	0.00001
Enterobacteriaceae endosymbiont of Macroplea mutica	2675791	S	3	0	3	0.00000
Enterobacteriaceae endosymbiont of Donacia tomentosa	2675787	S	3	0	3	0.00000
Enterobacter hormaechei	158836	S	61	155	216	0.00030
Enterobacter ludwigii	299767	S	2	0	2	0.00000
Enterobacter mori	539813	S	9	0	9	0.00001
Enterobacter soli	885040	S	2	0	2	0.00000
Enterobacter sp. JUb54	2724468	S	2	0	2	0.00000
Blochmannia endosymbiont of Camponotus sp.	700220	S	15	0	15	0.00002
Blochmannia endosymbiont of Camponotus modoc	2945587	S	5	0	5	0.00001
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	1505597	S	2	0	2	0.00000
Candidatus Annandia adelgestsuga	1302411	S	8	0	8	0.00001
Candidatus Annandia pinicola	1345117	S	6	0	6	0.00001
Symbiopectobacterium purcellii	2871826	S	8	0	8	0.00001
Candidatus Tachikawaea gelatinosa	1410383	S	4	0	4	0.00001
Candidatus Purcelliella pentastirinorum	472834	S	2	0	2	0.00000
Candidatus Gullanella endobia	1070130	S	2	0	2	0.00000
secondary endosymbiont of Heteropsylla cubana	134287	S	1	0	1	0.00000
Kosakonia sp. SMBL-WEM22	2725560	S	22	0	22	0.00003
Kosakonia radicincitans	283686	S	17	0	17	0.00002
Kosakonia oryzae	497725	S	2	0	2	0.00000
Kosakonia sacchari	1158459	S	1	0	1	0.00000
Lelliottia amnigena	61646	S	24	0	24	0.00003
Candidatus Profftia lariciata	1987921	S	13	0	13	0.00002
Candidatus Profftia sp. (ex Adelges kitamiensis)	2864218	S	8	0	8	0.00001
Leclercia pneumoniae	2815358	S	6	0	6	0.00001
Leclercia adecarboxylata	83655	S	3	0	3	0.00000
Kluyvera genomosp. 3	2774055	S	7	0	7	0.00001
Plesiomonas shigelloides	703	S	7	0	7	0.00001
Cronobacter sakazakii	28141	S	7	0	7	0.00001
Cedecea neteri	158822	S	5	0	5	0.00001
Candidatus Ishikawaella capsulata	168169	S	5	0	5	0.00001
Pluralibacter gergoviae	61647	S	2	0	2	0.00000
Shigella flexneri	623	S	1	0	1	0.00000
Candidatus Riesia pediculicola	401619	S	1	0	1	0.00000
Pseudocitrobacter corydidari	2891570	S	1	0	1	0.00000
Proteus mirabilis	584	S	415	0	415	0.00058
Proteus vulgaris	585	S	22	0	22	0.00003
Proteus hauseri	183417	S	6	0	6	0.00001
Proteus columbae	1987580	S	5	0	5	0.00001
Proteus penneri	102862	S	2	0	2	0.00000
Proteus sp. ZN5	2697019	S	1	0	1	0.00000
Candidatus Arsenophonus lipoptenae	634113	S	202	0	202	0.00028
Arsenophonus nasoniae	638	S	10	0	10	0.00001
Arsenophonus apicola	2879119	S	1	0	1	0.00000
Providencia sneebia	516075	S	26	0	26	0.00004
Providencia sp. R33	2828763	S	14	0	14	0.00002
Providencia rettgeri	587	S	11	0	11	0.00002
Providencia heimbachae	333962	S	7	0	7	0.00001
Providencia vermicola	333965	S	4	0	4	0.00001
Photorhabdus thracensis	230089	S	34	0	34	0.00005
Photorhabdus akhurstii	171438	S	14	0	14	0.00002
Xenorhabdus poinarii	40577	S	11	0	11	0.00002
Xenorhabdus bovienii	40576	S	6	0	6	0.00001
Xenorhabdus hominickii	351679	S	2	0	2	0.00000
Xenorhabdus nematophila	628	S	1	0	1	0.00000
Morganella morganii	582	S	12	0	12	0.00002
Moellerella wisconsensis	158849	S	5	0	5	0.00001
Buchnera aphidicola	9	S	381	0	381	0.00053
Candidatus Erwinia haradaeae	1922217	S	55	0	55	0.00008
Erwinia tracheiphila	65700	S	9	0	9	0.00001
Erwinia rhapontici	55212	S	5	0	5	0.00001
Erwinia gerundensis	1619313	S	2	0	2	0.00000
Candidatus Pantoea carbekii	1235990	S	9	0	9	0.00001
Pantoea ananatis	553	S	7	0	7	0.00001
Pantoea cypripedii	55209	S	7	0	7	0.00001
Pantoea sp. MT58	2768165	S	6	0	6	0.00001
Pantoea stewartii	66269	S	5	0	5	0.00001
Pantoea agglomerans	549	S	5	0	5	0.00001
Pantoea vagans	470934	S	4	0	4	0.00001
Mixta calida	665913	S	7	0	7	0.00001
Mixta intestinalis	1615494	S	2	0	2	0.00000
Wigglesworthia glossinidia	51229	S	1	0	1	0.00000
Yersinia enterocolitica	630	S	140	0	140	0.00019
Yersinia pseudotuberculosis	633	S	5	0	5	0.00001
Yersinia pestis	632	S	1	0	1	0.00000
Yersinia alsatica	2890317	S	2	0	2	0.00000
Yersinia frederiksenii	29484	S	1	0	1	0.00000
Serratia sp. 3ACOL1	2448483	S	112	0	112	0.00016
Serratia fonticola	47917	S	23	0	23	0.00003
Serratia surfactantfaciens	2741499	S	15	0	15	0.00002
Serratia ureilytica	300181	S	15	0	15	0.00002
Serratia marcescens	615	S	7	3	10	0.00001
Rahnella inusitata	58169	S	13	0	13	0.00002
Rouxiella badensis	1646377	S	8	0	8	0.00001
Dickeya sp. NCPPB 3274	568766	S	9	0	9	0.00001
Pectobacterium parmentieri	1905730	S	8	0	8	0.00001
Pectobacterium versatile	2488639	S	7	0	7	0.00001
Pectobacterium brasiliense	180957	S	2	0	2	0.00000
Pectobacterium atrosepticum	29471	S	1	0	1	0.00000
Pectobacterium polonicum	2485124	S	1	0	1	0.00000
Musicola paradisiaca	69223	S	13	0	13	0.00002
Brenneria izadpanahii	2722756	S	1	0	1	0.00000
Lonsdalea britannica	1082704	S	1	0	1	0.00000
Leminorella richardii	158841	S	12	0	12	0.00002
Pragia fontium	82985	S	10	0	10	0.00001
Jinshanibacter zhutongyuii	2498113	S	8	0	8	0.00001
Hafnia paralvei	546367	S	7	0	7	0.00001
Hafnia sp. CBA7124	1848580	S	4	0	4	0.00001
Hafnia alvei	569	S	1	0	1	0.00000
