name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas fluorescens	294	S	380549	0	380549	0.52553
Pseudomonas mandelii	75612	S	2884	0	2884	0.00398
Pseudomonas rhodesiae	76760	S	819	0	819	0.00113
Pseudomonas veronii	76761	S	487	0	487	0.00067
Pseudomonas synxantha	47883	S	303	0	303	0.00042
Pseudomonas protegens	380021	S	301	0	301	0.00042
Pseudomonas orientalis	76758	S	291	0	291	0.00040
Pseudomonas migulae	78543	S	110	0	110	0.00015
Pseudomonas corrugata	47879	S	93	0	93	0.00013
Pseudomonas trivialis	200450	S	90	0	90	0.00012
Pseudomonas tolaasii	29442	S	80	0	80	0.00011
Pseudomonas azotoformans	47878	S	73	0	73	0.00010
Pseudomonas mucidolens	46679	S	69	0	69	0.00010
Pseudomonas brenneri	129817	S	48	0	48	0.00007
Pseudomonas mediterranea	183795	S	45	0	45	0.00006
Pseudomonas poae	200451	S	38	0	38	0.00005
Pseudomonas congelans	200452	S	28	0	28	0.00004
Pseudomonas libanensis	75588	S	20	0	20	0.00003
Pseudomonas cedrina	651740	S	18	0	18	0.00002
Pseudomonas ogarae	1114970	S	10	0	10	0.00001
Pseudomonas extremorientalis	169669	S	2	0	2	0.00000
Pseudomonas sp. DR 5-09	1534110	S	5853	0	5853	0.00808
Pseudomonas sp. 3-2	2867408	S	4709	0	4709	0.00650
Pseudomonas sp. B21-021	2895476	S	3859	0	3859	0.00533
Pseudomonas sp. So3.2b	2864101	S	2233	0	2233	0.00308
Pseudomonas sp. BW7P1	2973088	S	2092	0	2092	0.00289
Pseudomonas sp. HS6	2850559	S	1719	0	1719	0.00237
Pseudomonas sp. IzPS59	2774459	S	1147	0	1147	0.00158
Pseudomonas sp. IAC-BECa141	2793103	S	789	0	789	0.00109
Pseudomonas sp. B21-015	2895473	S	619	0	619	0.00085
Pseudomonas sp. NIBR-H-19	2901380	S	618	0	618	0.00085
Pseudomonas sp. Seg1	2678259	S	591	0	591	0.00082
Pseudomonas sp. B21-044	2895488	S	521	0	521	0.00072
Pseudomonas sp. B21-056	2895495	S	461	0	461	0.00064
Pseudomonas sp. DTU12.3	2073078	S	380	0	380	0.00052
Pseudomonas sp. UW4	1207075	S	361	0	361	0.00050
Pseudomonas sp. B21-051	2895491	S	353	0	353	0.00049
Pseudomonas sp. Y5-11	2749808	S	350	0	350	0.00048
Pseudomonas sp. Eqa60	2799184	S	345	0	345	0.00048
Pseudomonas sp. AO-1	2855434	S	259	0	259	0.00036
Pseudomonas sp. URMO17WK12:I11	1283291	S	256	0	256	0.00035
Pseudomonas sp. R76	1573711	S	251	0	251	0.00035
Pseudomonas sp. SCA2728.1_7	2825975	S	249	0	249	0.00034
Pseudomonas sp. R84	1573712	S	239	0	239	0.00033
Pseudomonas sp. B21-040	2895486	S	202	0	202	0.00028
Pseudomonas sp. N3-W	2975049	S	201	0	201	0.00028
Pseudomonas sp. AN-B15	2697023	S	191	0	191	0.00026
Pseudomonas sp.	306	S	187	0	187	0.00026
Pseudomonas sp. B21-059	2895496	S	179	0	179	0.00025
Pseudomonas sp. MPC6	2498848	S	166	0	166	0.00023
Pseudomonas sp. StFLB209	1028989	S	158	0	158	0.00022
Pseudomonas sp. MM213	2866807	S	158	0	158	0.00022
Pseudomonas sp. In5(2022)	2961896	S	158	0	158	0.00022
Pseudomonas sp. DR48	2871095	S	152	0	152	0.00021
Pseudomonas sp. B21-054	2895494	S	145	0	145	0.00020
Pseudomonas sp. 7SR1	1881017	S	143	0	143	0.00020
Pseudomonas sp. S34	1573718	S	133	0	133	0.00018
Pseudomonas sp. 31-12	2201356	S	129	0	129	0.00018
Pseudomonas sp. B21-048	2895490	S	123	0	123	0.00017
Pseudomonas sp. B21-053	2895493	S	121	0	121	0.00017
Pseudomonas sp. B21-017	2895474	S	117	0	117	0.00016
Pseudomonas sp. PP3	2815936	S	112	0	112	0.00015
Pseudomonas sp. S49	1573720	S	111	0	111	0.00015
Pseudomonas sp. HLS-6	2049589	S	110	0	110	0.00015
Pseudomonas sp. LG1E9	2219057	S	110	0	110	0.00015
Pseudomonas sp. S150	2559074	S	109	0	109	0.00015
Pseudomonas sp. HD6515	2856556	S	108	0	108	0.00015
Pseudomonas sp. ACM7	2052956	S	105	0	105	0.00015
Pseudomonas sp. CMR5c	658630	S	103	0	103	0.00014
Pseudomonas sp. RU47	2005388	S	102	0	102	0.00014
Pseudomonas sp. Z003-0.4C(8344-21)	1855380	S	101	0	101	0.00014
Pseudomonas sp. R5-89-07	658644	S	97	0	97	0.00013
Pseudomonas sp. B21-028	2895480	S	94	0	94	0.00013
Pseudomonas sp. LTGT-11-2Z	2479393	S	92	0	92	0.00013
Pseudomonas sp. OE 28.3	2745519	S	92	0	92	0.00013
Pseudomonas sp. CC6-YY-74	1930532	S	89	0	89	0.00012
Pseudomonas sp. B10	118613	S	88	0	88	0.00012
Pseudomonas sp. KNUC1026	2893890	S	85	0	85	0.00012
Pseudomonas sp. B21-019	2895475	S	84	0	84	0.00012
Pseudomonas sp. MRSN 12121	1611770	S	82	0	82	0.00011
Pseudomonas sp. LS1212	2972478	S	81	0	81	0.00011
Pseudomonas sp. PIA16	2931382	S	80	0	80	0.00011
Pseudomonas sp. HN11	1344094	S	79	0	79	0.00011
Pseudomonas sp. S35	1573719	S	66	0	66	0.00009
Pseudomonas sp. DG56-2	2320270	S	65	0	65	0.00009
Pseudomonas sp. Ost2	2678260	S	64	0	64	0.00009
Pseudomonas sp. GR 6-02	1659194	S	63	0	63	0.00009
Pseudomonas sp. L5B5	2883205	S	62	0	62	0.00009
Pseudomonas sp. ADAK18	2730848	S	60	0	60	0.00008
Pseudomonas sp. NS1(2017)	2025658	S	58	0	58	0.00008
Pseudomonas sp. YeP6b	2861775	S	56	0	56	0.00008
Pseudomonas sp. TKP	1415630	S	55	0	55	0.00008
Pseudomonas sp. ADAK13	2730847	S	53	0	53	0.00007
Pseudomonas sp. TCU-HL1	1856685	S	51	0	51	0.00007
Pseudomonas sp. S09G 359	2054919	S	50	0	50	0.00007
Pseudomonas sp. B21-041	2895487	S	49	0	49	0.00007
Pseudomonas sp. SCB32	2653853	S	47	0	47	0.00006
Pseudomonas sp. DY-1	1755504	S	47	0	47	0.00006
Pseudomonas sp. LH1G9	2083055	S	46	0	46	0.00006
Pseudomonas sp. Marseille-Q3773	2866592	S	46	0	46	0.00006
Pseudomonas sp. CFSAN084952	2664899	S	46	0	46	0.00006
Pseudomonas sp. SC3(2021)	2871493	S	44	0	44	0.00006
Pseudomonas sp. ArH3a	2862945	S	44	0	44	0.00006
Pseudomonas sp. SW-3	147212	S	43	0	43	0.00006
Pseudomonas sp. GCEP-101	2974552	S	43	0	43	0.00006
Pseudomonas sp. CBS	2971912	S	42	0	42	0.00006
Pseudomonas sp. St316	2678257	S	40	0	40	0.00006
Pseudomonas sp. Tri1	2823875	S	40	0	40	0.00006
Pseudomonas sp. SDM007	2812000	S	38	0	38	0.00005
Pseudomonas sp. ADAK22	2730851	S	35	0	35	0.00005
Pseudomonas sp. 09C 129	2054915	S	34	0	34	0.00005
Pseudomonas sp. Leaf58	1736226	S	32	0	32	0.00004
Pseudomonas sp. MTM4	2705472	S	31	0	31	0.00004
Pseudomonas sp. SK3(2021)	2841064	S	31	0	31	0.00004
Pseudomonas sp. LPB0260	2614442	S	30	0	30	0.00004
Pseudomonas sp. SWI6	2083051	S	29	0	29	0.00004
Pseudomonas sp. CYM-20-01	2870750	S	29	0	29	0.00004
Pseudomonas sp. NIBRBAC000502773	2590776	S	29	0	29	0.00004
Pseudomonas sp. BIOMIG1BAC	1758730	S	29	0	29	0.00004
Pseudomonas sp. R2-37-08W	1173273	S	28	0	28	0.00004
Pseudomonas sp. BT-42-2	2986927	S	26	0	26	0.00004
Pseudomonas sp. CCOS 191	1649877	S	25	0	25	0.00003
Pseudomonas sp. ERGC3:05	2866386	S	24	0	24	0.00003
Pseudomonas sp. MPDS	2762896	S	24	0	24	0.00003
Pseudomonas sp. gcc21	2726989	S	24	0	24	0.00003
Pseudomonas sp. B21-032	2895483	S	24	0	24	0.00003
Pseudomonas sp. M30-35	1981174	S	23	0	23	0.00003
Pseudomonas sp. DTU12.1	2654238	S	23	0	23	0.00003
Pseudomonas sp. T8	645292	S	22	0	22	0.00003
Pseudomonas sp. phDV1	253237	S	22	0	22	0.00003
Pseudomonas sp. Sm006	2731552	S	21	0	21	0.00003
Pseudomonas sp. B11D7D	2735906	S	20	0	20	0.00003
Pseudomonas sp. 02C 26	2054914	S	20	0	20	0.00003
Pseudomonas sp. ATCC 43928	676210	S	19	0	19	0.00003
Pseudomonas sp. JS425	2829498	S	19	0	19	0.00003
Pseudomonas sp. LS44	1357074	S	18	0	18	0.00002
Pseudomonas sp. R3-18-08	1173283	S	18	0	18	0.00002
Pseudomonas sp. A214	1855331	S	17	0	17	0.00002
Pseudomonas sp. 15A4	2804761	S	17	0	17	0.00002
Pseudomonas sp. p1(2021b)	2874628	S	16	0	16	0.00002
Pseudomonas sp. MYb193	1827300	S	16	0	16	0.00002
Pseudomonas sp. Lz4W	1206777	S	14	0	14	0.00002
Pseudomonas sp. IB20	1702250	S	13	0	13	0.00002
Pseudomonas sp. Z8(2022)	2962597	S	12	0	12	0.00002
Pseudomonas sp. ABC1	2748080	S	12	0	12	0.00002
Pseudomonas sp. PDNC002	2811422	S	12	0	12	0.00002
Pseudomonas sp. J452	2898441	S	12	0	12	0.00002
Pseudomonas sp. JY-Q	1338689	S	12	0	12	0.00002
Pseudomonas sp. B21-010	2895471	S	12	0	12	0.00002
Pseudomonas sp. MM211	2866808	S	11	0	11	0.00002
Pseudomonas sp. PONIH3	1636610	S	11	0	11	0.00002
Pseudomonas sp. NY5710	2662033	S	11	0	11	0.00002
Pseudomonas sp. HN8-3	2886361	S	11	0	11	0.00002
Pseudomonas sp. C27(2019)	2604941	S	10	0	10	0.00001
Pseudomonas sp. RtIB026	2749999	S	10	0	10	0.00001
Pseudomonas sp. LBUM920	2126069	S	10	0	10	0.00001
Pseudomonas sp. St29	1500687	S	10	0	10	0.00001
Pseudomonas sp. R3-52-08	1173284	S	9	0	9	0.00001
Pseudomonas sp. S07E 245	2866278	S	8	0	8	0.00001
Pseudomonas sp. Cab53	2678258	S	8	0	8	0.00001
Pseudomonas sp. R1-43-08	1173270	S	8	0	8	0.00001
Pseudomonas sp. M1	95619	S	7	0	7	0.00001
Pseudomonas sp. 2hn	2866626	S	7	0	7	0.00001
Pseudomonas sp. HN2-3	2886360	S	7	0	7	0.00001
Pseudomonas sp. LTJR-52	2479392	S	6	0	6	0.00001
Pseudomonas sp. FDAARGOS_380	2018067	S	6	0	6	0.00001
Pseudomonas sp. J380	2605424	S	6	0	6	0.00001
Pseudomonas sp. Os17	1500686	S	6	0	6	0.00001
Pseudomonas sp. ATCC 13867	1294143	S	5	0	5	0.00001
Pseudomonas sp. Pc102	2678261	S	4	0	4	0.00001
Pseudomonas sp. St290	1602166	S	4	0	4	0.00001
Pseudomonas sp. SORT22	2813842	S	4	0	4	0.00001
Pseudomonas sp. B14-6	2738843	S	4	0	4	0.00001
Pseudomonas sp. BC42	2933816	S	4	0	4	0.00001
Pseudomonas sp. OST1909	2777367	S	4	0	4	0.00001
Pseudomonas sp. LS.1a	2920387	S	4	0	4	0.00001
Pseudomonas sp. FGI182	1259844	S	3	0	3	0.00000
Pseudomonas sp. SXM-1	2169583	S	3	0	3	0.00000
Pseudomonas sp. LRP2-20	2944234	S	3	0	3	0.00000
Pseudomonas sp. TMW 2.1634	1886807	S	3	0	3	0.00000
Pseudomonas sp. R4-34-07	658642	S	3	0	3	0.00000
Pseudomonas sp. R2-60-08W	1173280	S	3	0	3	0.00000
Pseudomonas sp. B21-047	2895489	S	3	0	3	0.00000
Pseudomonas sp. MPFS	2795724	S	3	0	3	0.00000
Pseudomonas sp. R2-7-07	658641	S	2	0	2	0.00000
Pseudomonas sp. HN2	2884805	S	2	0	2	0.00000
Pseudomonas sp. B21-023	2895477	S	2	0	2	0.00000
Pseudomonas sp. HS-18	2879114	S	2	0	2	0.00000
Pseudomonas sp. B21-036	2895485	S	2	0	2	0.00000
