name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Enterococcus faecium	1352	S	505333	0	505333	0.72307
Enterococcus faecalis	1351	S	1028	0	1028	0.00147
Enterococcus durans	53345	S	925	0	925	0.00132
Enterococcus casseliflavus	37734	S	831	0	831	0.00119
Enterococcus hirae	1354	S	516	0	516	0.00074
Enterococcus lactis	357441	S	495	0	495	0.00071
Enterococcus avium	33945	S	386	0	386	0.00055
Enterococcus mundtii	53346	S	383	0	383	0.00055
Enterococcus sp. DA9	2603296	S	276	0	276	0.00039
Enterococcus sp. CR-Ec1	2057791	S	12	0	12	0.00002
Enterococcus sp. FDAARGOS_553	2420313	S	4	0	4	0.00001
Enterococcus sp. FDAARGOS_375	2060307	S	3	0	3	0.00000
Enterococcus thailandicus	417368	S	164	0	164	0.00023
Enterococcus saigonensis	1805431	S	152	0	152	0.00022
Enterococcus cecorum	44008	S	99	0	99	0.00014
Enterococcus raffinosus	71452	S	96	0	96	0.00014
Enterococcus gallinarum	1353	S	46	0	46	0.00007
Enterococcus gilvus	160453	S	12	0	12	0.00002
Enterococcus wangshanyuanii	2005703	S	9	0	9	0.00001
Enterococcus rotai	118060	S	5	0	5	0.00001
Vagococcus fluvialis	2738	S	25	0	25	0.00004
Vagococcus teuberi	519472	S	12	0	12	0.00002
Vagococcus lutrae	81947	S	5	0	5	0.00001
Vagococcus penaei	633807	S	5	0	5	0.00001
Vagococcus sp. CY52-2	2925838	S	1	0	1	0.00000
Vagococcus hydrophili	2714947	S	1	0	1	0.00000
Tetragenococcus halophilus	51669	S	42	0	42	0.00006
Tetragenococcus osmophilus	526944	S	2	0	2	0.00000
Streptococcus agalactiae	1311	S	56	0	56	0.00008
Streptococcus cristatus	45634	S	54	0	54	0.00008
Streptococcus thermophilus	1308	S	21	0	21	0.00003
Streptococcus suis	1307	S	14	0	14	0.00002
Streptococcus infantis	68892	S	6	0	6	0.00001
Streptococcus parauberis	1348	S	6	0	6	0.00001
Streptococcus parasuis	1501662	S	5	0	5	0.00001
Streptococcus sp. DAT741	1940319	S	5	0	5	0.00001
Streptococcus pyogenes	1314	S	5	2653	2658	0.00380
Streptococcus dysgalactiae	1334	S	5	0	5	0.00001
Streptococcus constellatus	76860	S	2	0	2	0.00000
Streptococcus anginosus	1328	S	1	0	1	0.00000
Streptococcus pneumoniae	1313	S	2	0	2	0.00000
Streptococcus gallolyticus	315405	S	2	0	2	0.00000
Streptococcus uberis	1349	S	1	0	1	0.00000
Streptococcus lutetiensis	150055	S	1	0	1	0.00000
Streptococcus salivarius	1304	S	1	0	1	0.00000
Lactococcus lactis	1358	S	17	0	17	0.00002
Lactococcus cremoris	1359	S	11	0	11	0.00002
Lactococcus garvieae	1363	S	7	0	7	0.00001
Lactococcus raffinolactis	1366	S	4	0	4	0.00001
Lactococcus piscium	1364	S	1	0	1	0.00000
Lactococcus taiwanensis	1151742	S	1	0	1	0.00000
Lactococcus allomyrinae	2419773	S	1	0	1	0.00000
Limosilactobacillus reuteri	1598	S	5	0	5	0.00001
Limosilactobacillus vaginalis	1633	S	5	0	5	0.00001
Limosilactobacillus fermentum	1613	S	4	0	4	0.00001
Limosilactobacillus oris	1632	S	1	0	1	0.00000
Ligilactobacillus salivarius	1624	S	6	0	6	0.00001
Ligilactobacillus murinus	1622	S	2	0	2	0.00000
Ligilactobacillus agilis	1601	S	1	0	1	0.00000
Weissella hellenica	46256	S	3	0	3	0.00000
Weissella cibaria	137591	S	1	0	1	0.00000
Weissella koreensis	165096	S	1	0	1	0.00000
Weissella jogaejeotgali	1631871	S	1	0	1	0.00000
Weissella coleopterorum	2714949	S	1	0	1	0.00000
Lactobacillus acidophilus	1579	S	2	0	2	0.00000
Lactobacillus panisapium	2012495	S	1	0	1	0.00000
Lactobacillus johnsonii	33959	S	1	0	1	0.00000
Lactobacillus iners	147802	S	1	0	1	0.00000
Lactiplantibacillus plantarum	1590	S	6	0	6	0.00001
Pediococcus damnosus	51663	S	2	0	2	0.00000
Pediococcus pentosaceus	1255	S	1	0	1	0.00000
Periweissella cryptocerci	2506420	S	3	0	3	0.00000
Latilactobacillus sakei	1599	S	2	0	2	0.00000
Latilactobacillus curvatus	28038	S	1	0	1	0.00000
Leuconostoc lactis	1246	S	1	0	1	0.00000
Leuconostoc suionicum	1511761	S	1	0	1	0.00000
Fructilactobacillus lindneri	53444	S	1	0	1	0.00000
Lentilactobacillus laojiaonis	2883998	S	1	0	1	0.00000
Oenococcus oeni	1247	S	1	0	1	0.00000
Ignavigranum ruoffiae	89093	S	22	0	22	0.00003
Aerococcus urinaeequi	51665	S	6	0	6	0.00001
Aerococcus viridans	1377	S	2	0	2	0.00000
Carnobacterium maltaromaticum	2751	S	6	0	6	0.00001
Carnobacterium divergens	2748	S	2	0	2	0.00000
Carnobacterium viridans	174587	S	1	0	1	0.00000
Jeotgalibaca sp. PTS2502	1903686	S	3	0	3	0.00000
Marinilactibacillus sp. 15R	1911586	S	3	0	3	0.00000
Staphylococcus aureus	1280	S	2405	8437	10842	0.01551
Staphylococcus simulans	1286	S	53	0	53	0.00008
Staphylococcus epidermidis	1282	S	4	0	4	0.00001
Staphylococcus haemolyticus	1283	S	3	0	3	0.00000
Staphylococcus delphini	53344	S	2	0	2	0.00000
Staphylococcus pseudintermedius	283734	S	1	0	1	0.00000
Staphylococcus argenteus	985002	S	1	0	1	0.00000
Staphylococcus cohnii	29382	S	1	26	27	0.00004
Staphylococcus auricularis	29379	S	1	0	1	0.00000
Staphylococcus nepalensis	214473	S	1	0	1	0.00000
Staphylococcus equorum	246432	S	1	0	1	0.00000
Staphylococcus arlettae	29378	S	1	0	1	0.00000
Mammaliicoccus sciuri	1296	S	4	0	4	0.00001
Mammaliicoccus lentus	42858	S	1	0	1	0.00000
Nosocomiicoccus ampullae	489910	S	2	0	2	0.00000
Bacillus velezensis	492670	S	9	0	9	0.00001
Bacillus amyloliquefaciens	1390	S	3	0	3	0.00000
Bacillus subtilis	1423	S	5	0	5	0.00001
Bacillus licheniformis	1402	S	3	0	3	0.00000
Bacillus paralicheniformis	1648923	S	1	0	1	0.00000
Bacillus cereus	1396	S	6	0	6	0.00001
Bacillus anthracis	1392	S	3	0	3	0.00000
Bacillus thuringiensis	1428	S	3	0	3	0.00000
Bacillus wiedmannii	1890302	S	2	0	2	0.00000
Bacillus tropicus	2026188	S	1	0	1	0.00000
Bacillus sp. CMF21	2884832	S	2	0	2	0.00000
Bacillus sp. Y1	352858	S	1	0	1	0.00000
Bacillus sp. TK-2	2801342	S	1	0	1	0.00000
Bacillus sp. BD59S	2499213	S	1	0	1	0.00000
Bacillus sp. ms-22	2683680	S	1	0	1	0.00000
Bacillus sp. ZY-1-1	2093834	S	1	0	1	0.00000
Bacillus sp. BS-02	887059	S	1	0	1	0.00000
Bacillus pumilus	1408	S	2	0	2	0.00000
Bacillus safensis	561879	S	2	0	2	0.00000
Bacillus altitudinis	293387	S	1	0	1	0.00000
Heyndrickxia oleronia	38875	S	60	0	60	0.00009
Lysinibacillus capsici	2115968	S	50	0	50	0.00007
Lysinibacillus timonensis	2086577	S	3	0	3	0.00000
Lysinibacillus sp. Ag94	2936682	S	1	0	1	0.00000
Weizmannia coagulans	1398	S	8	0	8	0.00001
Peribacillus frigoritolerans	450367	S	4	0	4	0.00001
Peribacillus simplex	1478	S	2	0	2	0.00000
Peribacillus asahii	228899	S	1	0	1	0.00000
Cytobacillus solani	1637975	S	2	0	2	0.00000
Cytobacillus firmus	1399	S	1	0	1	0.00000
Cytobacillus kochii	859143	S	1	0	1	0.00000
