name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Stenotrophomonas sp. LM091	1904944	S	372902	0	372902	0.73482
Stenotrophomonas sp. 364	2691571	S	1921	0	1921	0.00379
Stenotrophomonas sp. SXG-1	2682487	S	413	0	413	0.00081
Stenotrophomonas sp. NY11291	2939415	S	367	0	367	0.00072
Stenotrophomonas sp. NA06056	2742129	S	359	0	359	0.00071
Stenotrophomonas sp. 169	2770322	S	318	0	318	0.00063
Stenotrophomonas sp. MYb57	1827305	S	269	0	269	0.00053
Stenotrophomonas sp. WZN-1	2005046	S	261	0	261	0.00051
Stenotrophomonas sp. Pemsol	2040586	S	123	0	123	0.00024
Stenotrophomonas sp. CW117	2775920	S	123	0	123	0.00024
Stenotrophomonas sp. SI-NJAU-1	2886359	S	55	0	55	0.00011
Stenotrophomonas sp. DR822	2871174	S	50	0	50	0.00010
Stenotrophomonas sp. G4	2303750	S	27	0	27	0.00005
Stenotrophomonas sp. ASS1	2282124	S	26	0	26	0.00005
Stenotrophomonas sp. pho	2211160	S	5	0	5	0.00001
Stenotrophomonas maltophilia	40324	S	19796	0	19796	0.03901
Stenotrophomonas sp. SAU14A_NAIMI4_5	2072413	S	299	0	299	0.00059
Stenotrophomonas sp. ZAC14A_NAIMI4_1	2072412	S	222	0	222	0.00044
Stenotrophomonas sp. ESTM1D_MKCIP4_1	2072414	S	143	0	143	0.00028
Stenotrophomonas sp. ZAC14D2_NAIMI4_7	2072405	S	108	0	108	0.00021
Stenotrophomonas sp. SAU14A_NAIMI4_8	2072409	S	43	0	43	0.00008
Stenotrophomonas sp. YAU14D1_LEIMI4_1	2072407	S	37	0	37	0.00007
Stenotrophomonas sp. ZAC14D2_NAIMI4_6	2072406	S	17	0	17	0.00003
Stenotrophomonas sp. YAU14A_MKIMI4_1	2072408	S	4	0	4	0.00001
Stenotrophomonas rhizophila	216778	S	9174	0	9174	0.01808
Stenotrophomonas acidaminiphila	128780	S	1577	0	1577	0.00311
Stenotrophomonas indicatrix	2045451	S	333	0	333	0.00066
Stenotrophomonas pavanii	487698	S	35	0	35	0.00007
Stenotrophomonas nitritireducens	83617	S	4	0	4	0.00001
