name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas sp. MYb193	1827300	S	512323	0	512323	0.59544
Pseudomonas sp. J380	2605424	S	61821	0	61821	0.07185
Pseudomonas sp. FDAARGOS_380	2018067	S	3286	0	3286	0.00382
Pseudomonas sp. So3.2b	2864101	S	1669	0	1669	0.00194
Pseudomonas sp. CFSAN084952	2664899	S	1424	0	1424	0.00166
Pseudomonas sp. St386	2678256	S	1295	0	1295	0.00151
Pseudomonas sp. OE 28.3	2745519	S	1007	0	1007	0.00117
Pseudomonas sp. R5-89-07	658644	S	798	0	798	0.00093
Pseudomonas sp. HN11	1344094	S	753	0	753	0.00088
Pseudomonas sp. R1-43-08	1173270	S	710	0	710	0.00083
Pseudomonas sp. S09G 359	2054919	S	688	0	688	0.00080
Pseudomonas sp. S35	1573719	S	574	0	574	0.00067
Pseudomonas sp. B21-056	2895495	S	462	0	462	0.00054
Pseudomonas sp. HN8-3	2886361	S	425	0	425	0.00049
Pseudomonas sp. SDM007	2812000	S	367	0	367	0.00043
Pseudomonas sp. YeP6b	2861775	S	366	0	366	0.00043
Pseudomonas sp. LG1E9	2219057	S	331	0	331	0.00038
Pseudomonas sp. CYM-20-01	2870750	S	331	0	331	0.00038
Pseudomonas sp. ADAK13	2730847	S	312	0	312	0.00036
Pseudomonas sp. NS1(2017)	2025658	S	274	0	274	0.00032
Pseudomonas sp. NIBRBAC000502773	2590776	S	268	0	268	0.00031
Pseudomonas sp. St316	2678257	S	228	0	228	0.00026
Pseudomonas sp. CBS	2971912	S	226	0	226	0.00026
Pseudomonas sp. R76	1573711	S	223	0	223	0.00026
Pseudomonas sp. ADAK18	2730848	S	218	0	218	0.00025
Pseudomonas sp. PIA16	2931382	S	195	0	195	0.00023
Pseudomonas sp. N3-W	2975049	S	183	0	183	0.00021
Pseudomonas sp. R3-52-08	1173284	S	182	0	182	0.00021
Pseudomonas sp. OST1909	2777367	S	180	0	180	0.00021
Pseudomonas sp. Seg1	2678259	S	173	0	173	0.00020
Pseudomonas sp. ADAK22	2730851	S	173	0	173	0.00020
Pseudomonas sp. MPC6	2498848	S	151	0	151	0.00018
Pseudomonas sp. Ost2	2678260	S	142	0	142	0.00017
Pseudomonas sp. R4-39-08	1173288	S	142	0	142	0.00017
Pseudomonas sp. ACM7	2052956	S	137	0	137	0.00016
Pseudomonas sp.	306	S	137	0	137	0.00016
Pseudomonas sp. LBUM920	2126069	S	128	0	128	0.00015
Pseudomonas sp. R4-34-07	658642	S	124	0	124	0.00014
Pseudomonas sp. B21-015	2895473	S	122	0	122	0.00014
Pseudomonas sp. 7SR1	1881017	S	121	0	121	0.00014
Pseudomonas sp. LH1G9	2083055	S	117	0	117	0.00014
Pseudomonas sp. SCA2728.1_7	2825975	S	117	0	117	0.00014
Pseudomonas sp. R3-18-08	1173283	S	113	0	113	0.00013
Pseudomonas sp. R2-37-08W	1173273	S	112	0	112	0.00013
Pseudomonas sp. 15A4	2804761	S	111	0	111	0.00013
Pseudomonas sp. S34	1573718	S	109	0	109	0.00013
Pseudomonas sp. PP3	2815936	S	108	0	108	0.00013
Pseudomonas sp. StFLB209	1028989	S	108	0	108	0.00013
Pseudomonas sp. L5B5	2883205	S	107	0	107	0.00012
Pseudomonas sp. NIBR-H-19	2901380	S	106	0	106	0.00012
Pseudomonas sp. CMR5c	658630	S	104	0	104	0.00012
Pseudomonas sp. LS1212	2972478	S	104	0	104	0.00012
Pseudomonas sp. R2-60-08W	1173280	S	104	0	104	0.00012
Pseudomonas sp. CC6-YY-74	1930532	S	97	0	97	0.00011
Pseudomonas sp. ArH3a	2862945	S	93	0	93	0.00011
Pseudomonas sp. BW7P1	2973088	S	93	0	93	0.00011
Pseudomonas sp. ERGC3:05	2866386	S	91	0	91	0.00011
Pseudomonas sp. B21-036	2895485	S	91	0	91	0.00011
Pseudomonas sp. B21-053	2895493	S	91	0	91	0.00011
Pseudomonas sp. BT-42-2	2986927	S	87	0	87	0.00010
Pseudomonas sp. R4-35-07	658643	S	84	0	84	0.00010
Pseudomonas sp. KUIN-1	2609418	S	78	0	78	0.00009
Pseudomonas sp. In5(2022)	2961896	S	78	0	78	0.00009
Pseudomonas sp. B21-048	2895490	S	77	0	77	0.00009
Pseudomonas sp. DR 5-09	1534110	S	77	0	77	0.00009
Pseudomonas sp. Marseille-Q3773	2866592	S	75	0	75	0.00009
Pseudomonas sp. Z003-0.4C(8344-21)	1855380	S	73	0	73	0.00008
Pseudomonas sp. 31-12	2201356	S	71	0	71	0.00008
Pseudomonas sp. TKP	1415630	S	70	0	70	0.00008
Pseudomonas sp. DY-1	1755504	S	69	0	69	0.00008
Pseudomonas sp. HS6	2850559	S	68	0	68	0.00008
Pseudomonas sp. DG56-2	2320270	S	68	0	68	0.00008
Pseudomonas sp. Sm006	2731552	S	66	0	66	0.00008
Pseudomonas sp. NC02	2067572	S	64	0	64	0.00007
Pseudomonas sp. DR208	2870840	S	63	0	63	0.00007
Pseudomonas sp. DTU12.1	2654238	S	60	0	60	0.00007
Pseudomonas sp. MM213	2866807	S	60	0	60	0.00007
Pseudomonas sp. R11-23-07	658632	S	60	0	60	0.00007
Pseudomonas sp. IB20	1702250	S	59	0	59	0.00007
Pseudomonas sp. M30-35	1981174	S	57	0	57	0.00007
Pseudomonas sp. TCU-HL1	1856685	S	57	0	57	0.00007
Pseudomonas sp. LS44	1357074	S	56	0	56	0.00007
Pseudomonas sp. DTU12.3	2073078	S	54	0	54	0.00006
